SEAS,YR,ANOM_seas,3mo_avg,diff
FMA,1971,-0.78,-0.7799999999999999,-1.1102230246251565e-16
MAM,1971,-0.57,-0.5733333333333334,0.0033333333333334103
AMJ,1971,-0.48,-0.48666666666666664,0.006666666666666654
MJJ,1971,-0.37,-0.36999999999999994,-5.551115123125783e-17
JJA,1971,-0.3,-0.3,0.0
JAS,1971,-0.25,-0.24666666666666667,-0.003333333333333327
ASO,1971,-0.3,-0.3,0.0
SON,1971,-0.4,-0.39999999999999997,-5.551115123125783e-17
OND,1971,-0.41,-0.4166666666666667,0.00666666666666671
NDJ,1971,-0.38,-0.38333333333333336,0.003333333333333355
DJF,1972,-0.21,-0.21,0.0
JFM,1972,0.03,0.033333333333333326,-0.003333333333333327
FMA,1972,0.32,0.3233333333333333,-0.0033333333333332993
MAM,1972,0.51,0.5133333333333333,-0.0033333333333332993
AMJ,1972,0.66,0.6633333333333334,-0.0033333333333334103
MJJ,1972,0.87,0.87,0.0
JJA,1972,1.14,1.1466666666666665,-0.006666666666666599
JAS,1972,1.4,1.4033333333333333,-0.0033333333333334103
ASO,1972,1.64,1.64,0.0
SON,1972,1.82,1.82,0.0
OND,1972,1.97,1.9666666666666668,0.0033333333333331883
NDJ,1972,1.88,1.8766666666666667,0.0033333333333331883
DJF,1973,1.69,1.6900000000000002,-2.220446049250313e-16
JFM,1973,1.25,1.2533333333333332,-0.0033333333333331883
FMA,1973,0.58,0.5766666666666667,0.0033333333333332993
MAM,1973,-0.17,-0.16666666666666666,-0.003333333333333355
AMJ,1973,-0.73,-0.7266666666666666,-0.0033333333333334103
MJJ,1973,-0.98,-0.98,0.0
JJA,1973,-1.1,-1.0966666666666667,-0.0033333333333334103
JAS,1973,-1.19,-1.1933333333333334,0.0033333333333334103
ASO,1973,-1.3,-1.3,0.0
SON,1973,-1.63,-1.6366666666666667,0.006666666666666821
OND,1973,-1.86,-1.8633333333333333,0.0033333333333331883
NDJ,1973,-1.91,-1.9100000000000001,2.220446049250313e-16
DJF,1974,-1.6,-1.5966666666666667,-0.0033333333333334103
JFM,1974,-1.28,-1.2766666666666666,-0.0033333333333334103
FMA,1974,-0.97,-0.9766666666666666,0.006666666666666599
MAM,1974,-0.84,-0.8433333333333334,0.0033333333333334103
AMJ,1974,-0.57,-0.57,0.0
MJJ,1974,-0.5,-0.49666666666666676,-0.0033333333333332438
JJA,1974,-0.27,-0.27,0.0
JAS,1974,-0.21,-0.21,0.0
ASO,1974,-0.24,-0.2333333333333333,-0.006666666666666682
SON,1974,-0.45,-0.4466666666666666,-0.0033333333333334103
OND,1974,-0.59,-0.59,0.0
NDJ,1974,-0.35,-0.3499999999999999,-5.551115123125783e-17
